国家或地区,货币代码,价格,第 1 年所得,第 2 年所得
阿尔巴尼亚,USD,6.99,4.95,4.95
阿尔及利亚,USD,6.99,5.94,5.94
阿富汗,USD,4.99,4.24,4.24
阿根廷,USD,12.99,11.04,11.04
阿拉伯联合酋长国,AED,59.99,48.56,48.56
阿曼,USD,6.99,5.66,5.66
阿塞拜疆,USD,4.99,3.59,3.59
埃及,EGP,499.99,372.8,372.8
爱尔兰,EUR,14.99,10.36,10.36
爱沙尼亚,EUR,14.99,10.28,10.28
安哥拉,USD,4.99,4.24,4.24
安圭拉,USD,12.99,11.04,11.04
安提瓜和巴布达,USD,12.99,11.04,11.04
奥地利,EUR,14.99,10.62,10.62
澳大利亚,AUD,19.99,15.45,15.45
澳门,USD,12.99,11.04,11.04
巴巴多斯,USD,14.99,10.84,10.84
巴布亚新几内亚,USD,6.99,5.94,5.94
巴哈马,USD,14.99,11.58,11.58
巴基斯坦,PKR,3500.0,2975.0,2975.0
巴拉圭,USD,12.99,11.04,11.04
巴林,USD,14.99,11.58,11.58
巴拿马,USD,14.99,12.74,12.74
巴西,BRL,79.9,59.34,59.34
白俄罗斯,USD,6.99,4.95,4.95
百慕大,USD,12.99,11.04,11.04
保加利亚,BGN,29.99,21.24,21.24
北马其顿,USD,6.99,5.94,5.94
贝宁,USD,5.99,4.31,4.31
比利时,EUR,14.99,10.53,10.53
冰岛,USD,17.99,12.33,12.33
波兰,PLN,69.99,48.37,48.37
波斯尼亚和黑塞哥维那,EUR,14.99,10.89,10.89
玻利维亚,USD,12.99,11.04,11.04
伯利兹,USD,12.99,11.04,11.04
博茨瓦纳,USD,6.99,5.94,5.94
不丹,USD,6.99,5.94,5.94
布基纳法索,USD,4.99,4.24,4.24
丹麦,DKK,129.0,87.72,87.72
德国,EUR,14.99,10.71,10.71
多米尼加共和国,USD,12.99,11.04,11.04
多米尼克,USD,12.99,11.04,11.04
俄罗斯,RUB,999.0,707.63,707.63
厄瓜多尔,USD,12.99,11.04,11.04
法国,EUR,14.99,10.62,10.62
菲律宾,PHP,799.0,606.38,606.38
斐济,USD,6.99,5.94,5.94
芬兰,EUR,14.99,10.15,10.15
佛得角,USD,6.99,5.94,5.94
冈比亚,USD,4.99,4.24,4.24
刚果共和国,USD,4.99,4.24,4.24
刚果民主共和国,USD,12.99,11.04,11.04
哥伦比亚,COP,59900.0,42785.71,42785.71
哥斯达黎加,USD,12.99,11.04,11.04
格林纳达,USD,7.99,6.79,6.79
格鲁吉亚,USD,7.99,5.76,5.76
圭亚那,USD,7.99,6.79,6.79
哈萨克斯坦,KZT,4990.0,3787.05,3787.05
韩国,KRW,19000,14682,14682
荷兰,EUR,14.99,10.53,10.53
黑山,EUR,11.99,10.19,10.19
洪都拉斯,USD,6.99,5.94,5.94
吉尔吉斯斯坦,USD,5.99,4.55,4.55
几内亚比绍,USD,5.99,5.09,5.09
加拿大,CAD,17.99,15.29,15.29
加纳,USD,6.99,4.87,4.87
加蓬,USD,6.99,5.94,5.94
柬埔寨,USD,4.99,3.86,3.86
捷克共和国,CZK,349.0,245.17,245.17
津巴布韦,USD,6.99,4.91,4.91
喀麦隆,USD,4.99,3.56,3.56
卡塔尔,QAR,69.99,59.49,59.49
开曼群岛,USD,17.99,15.29,15.29
科索沃,EUR,14.99,10.8,10.8
科特迪瓦,USD,14.99,10.8,10.8
科威特,USD,12.99,11.04,11.04
克罗地亚,EUR,14.99,10.19,10.19
肯尼亚,USD,4.99,3.65,3.65
拉脱维亚,EUR,14.99,10.53,10.53
老挝,USD,14.99,11.58,11.58
黎巴嫩,USD,6.99,5.94,5.94
立陶宛,EUR,14.99,10.53,10.53
利比里亚,USD,5.99,5.09,5.09
利比亚,USD,5.99,5.09,5.09
卢森堡,EUR,17.99,13.07,13.07
卢旺达,USD,5.99,5.09,5.09
罗马尼亚,RON,69.99,49.17,49.17
马达加斯加,USD,5.99,5.09,5.09
马尔代夫,USD,12.99,11.04,11.04
马耳他,EUR,14.99,10.8,10.8
马拉维,USD,5.99,5.09,5.09
马来西亚,MYR,59.9,47.14,47.14
马里,USD,5.99,5.09,5.09
毛里求斯,USD,5.99,5.09,5.09
毛里塔尼亚,USD,5.99,5.09,5.09
美国,USD,12.99,11.04,11.04
蒙古,USD,5.99,5.09,5.09
蒙特塞拉特,USD,12.99,11.04,11.04
秘鲁,PEN,59.9,43.15,43.15
密克罗尼西亚,USD,4.99,4.24,4.24
缅甸,USD,5.99,5.09,5.09
摩尔多瓦,USD,6.99,4.95,4.95
摩洛哥,USD,6.99,5.94,5.94
莫桑比克,USD,4.99,4.24,4.24
墨西哥,MXN,399.0,292.37,292.37
纳米比亚,USD,6.99,5.94,5.94
南非,ZAR,249.99,184.78,184.78
瑙鲁,USD,6.99,5.94,5.94
尼加拉瓜,USD,6.99,5.94,5.94
尼泊尔,USD,4.99,3.68,3.68
尼日尔,USD,4.99,4.24,4.24
尼日利亚,NGN,19900.0,15734.88,15734.88
挪威,NOK,179.0,121.72,121.72
帕劳,USD,12.99,11.04,11.04
葡萄牙,EUR,14.99,10.36,10.36
日本,JPY,2000,1545,1545
瑞典,SEK,179.0,121.72,121.72
瑞士,CHF,18.0,14.15,14.15
萨尔瓦多,USD,12.99,11.04,11.04
塞尔维亚,EUR,14.99,10.62,10.62
塞拉利昂,USD,4.99,4.24,4.24
塞内加尔,USD,6.99,5.04,5.04
塞浦路斯,EUR,14.99,10.71,10.71
塞舌尔,USD,6.99,5.94,5.94
沙特阿拉伯,SAR,59.99,44.34,44.34
圣多美和普林西比,USD,6.99,5.94,5.94
圣基茨和尼维斯,USD,12.99,11.04,11.04
圣卢西亚,USD,12.99,11.04,11.04
圣文森特和格林纳丁斯,USD,12.99,11.04,11.04
斯里兰卡,USD,7.99,6.79,6.79
斯洛伐克,EUR,14.99,10.36,10.36
斯洛文尼亚,EUR,14.99,10.44,10.44
斯威士兰,USD,12.99,11.04,11.04
苏里南,USD,7.99,6.17,6.17
所罗门群岛,USD,4.99,4.24,4.24
塔吉克斯坦,USD,14.99,11.18,11.18
台湾,TWD,390,306,306
泰国,THB,499.0,396.4,396.4
坦桑尼亚,TZS,6900.0,4870.93,4870.93
汤加,USD,5.99,5.09,5.09
特克斯和凯科斯群岛,USD,17.99,15.29,15.29
特立尼达和多巴哥,USD,12.99,11.04,11.04
突尼斯,USD,6.99,5.94,5.94
土库曼斯坦,USD,5.99,5.09,5.09
瓦努阿图,USD,5.99,5.09,5.09
危地马拉,USD,12.99,11.04,11.04
委内瑞拉,USD,12.99,11.04,11.04
文莱,USD,12.99,11.04,11.04
乌干达,USD,4.99,3.41,3.41
乌克兰,USD,6.99,4.95,4.95
乌拉圭,USD,12.99,10.86,10.86
乌兹别克斯坦,USD,4.99,3.79,3.79
西班牙,EUR,14.99,10.51,10.51
希腊,EUR,14.99,10.28,10.28
香港,HKD,128.0,108.8,108.8
新加坡,SGD,19.98,15.58,15.58
新西兰,NZD,22.99,16.99,16.99
匈牙利,HUF,5990,4009,4009
牙买加,USD,5.99,5.09,5.09
亚美尼亚,USD,5.99,4.24,4.24
也门,USD,5.99,5.09,5.09
伊拉克,USD,12.99,11.04,11.04
以色列,ILS,69.9,59.42,59.42
意大利,EUR,14.99,10.4,10.4
印度,INR,299.0,215.38,215.38
印度尼西亚,IDR,229000,175360,175360
英国,GBP,14.99,10.59,10.59
英属维尔京群岛,USD,17.99,15.29,15.29
约旦,USD,7.99,6.79,6.79
越南,VND,399000,291361,291361
赞比亚,USD,5.99,4.39,4.39
乍得,USD,5.99,5.09,5.09
智利,CLP,5800,4143,4143
中国大陆,CNY,38.0,32.01,32.01
Türkiye,TRY,599.99,393.12,393.12